url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-manage-data-using-copilot,Manage the Business Continuity and Disaster Recovery estate using Copilot,Tutorial - Manage your resiliency estate efficiently using Resiliency in Azure Copilot,,"In this tutorial, learn how to manage your resiliency estate efficiently using Resiliency Copilot","This article describes how to use Resiliency in Azure Copilot to make your resiliency journey seamless. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form. Note Current service URLs in Copilot interactions still ",2025-11-19T08:00:00.000Z,how-to,,0.3,False,"Tutorial on using Resiliency Copilot; describes interactions and experience rather than concrete configuration, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-monitor-alerts-metrics,Monitor alerts and metrics,Tutorial - Monitor alerts and metrics in Resiliency,,"In this tutorial, learn how to monitor alerts and configure notifications for your resiliency estate using Resiliency in Azure.","This tutorial describes how Resiliency in Azure allows you to view alerts across Azure Backup and Azure Site Recovery. You can also configure notifications, view metrics, and take appropriate action. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Re",2025-11-19T08:00:00.000Z,tutorial,,0.35,False,Tutorial on monitoring alerts and metrics and configuring notifications; appears as a basic how-to without detailed config reference tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-monitor-operate,Monitor jobs,Tutorial - Monitor and operate jobs,,"In this tutorial, learn how to monitor jobs across your resiliency estate using Resiliency in Azure.","This tutorial describes how to monitor jobs across your resiliency estate. Resiliency in Azure allows you to view jobs across Azure Backup and Azure Site Recovery, with ability to filter, view details of individual jobs and take appropriate action. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your",2025-11-19T08:00:00.000Z,tutorial,,0.35,False,"Monitoring jobs tutorial; shows how to filter and view jobs but no specific diagnostic commands, error codes, or configuration parameter tables.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-monitor-protection-summary,Monitor protection summary,Tutorial - Monitor protection summary,,"In this tutorial, learn how to monitor protection estate using Resiliency in Azure.","This article describes how to monitor and govern protection estate using Resiliency in Azure. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form. The Resiliency overview pane provides a comprehensive snapshot of ",2025-11-19T08:00:00.000Z,tutorial,,0.35,False,"Monitoring protection summary overview; likely dashboard-centric with conceptual guidance, not detailed limits, configs, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-reconfigure-backup-alternate-vault,Reconfigure Backup in an alternate vault,Tutorial - Reconfigure backup for data sources in an alternate vault using Resiliency,,"Learn how to reconfigure backup in an alternate vault for your datasources - Azure Virtual Machine (VM), Azure Files, SQL databases in Azure VM, SAP HANA database in Azure VM.","Resiliency in Azure allows you to suspend backup for a datasource in one vault and reconfigure in another without losing existing recovery points. This flexibility helps in the following scenarios: This tutorial describes how to reconfigure backup for data sources in Resiliency by switching to an alternate Recovery Services vault, called re-registration. The feature is available for all datasources supported in Recovery Services vault. Important Azure Business Continuity Center is now Resiliency",2025-11-19T08:00:00.000Z,tutorial,,0.3,False,"Tutorial on reconfiguring backup to an alternate vault; scenario-based steps but no detailed configuration matrices, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-recover-deleted-item,Recover item,Recover deleted item,,Learn how to recover deleted item,"This tutorial describes the process to recover deleted items from the vault to ensure resiliency. Resiliency in Azure allows you to recover protected items (restore backup, failover, test failover, and more), for the replication of the datasources from various views such as Overview, protected items, and so on. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. of",2025-11-19T08:00:00.000Z,tutorial,,0.3,False,"Tutorial for recovering deleted items; focuses on how-to actions in the portal, not on error codes, limits, or configuration references.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-reporting-for-data-insights,Configure and view reports,Tutorial - Set up and view reports in Resiliency,,This tutorial describes how to set up and view reports in Resiliency.,"This tutorial describes how to set up and view reports in the Resiliency in Azure. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form. Resiliency in Azure provides a reporting solution for backup and disaster rec",2025-11-19T08:00:00.000Z,tutorial,,0.35,False,"Reporting setup tutorial; focuses on enabling and viewing reports, not on configuration parameter references or quotas.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-review-security-posture,Review security posture,Review security posture,Review and adjust security posture in Resiliency,Learn how to review security posture,"This tutorial describes how to review and modify the security level for protected items in Resiliency in Azure. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form. Azure Backup provides security features at the v",2025-11-19T08:00:00.000Z,tutorial,security,0.65,True,Describes reviewing and modifying security levels for protected items; likely includes product-specific security level settings and options beyond generic concepts.,unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-view-protectable-resources,View protectable resources,Tutorial - View protectable resources,,"In this tutorial, learn how to view your resources that are currently not protected by any solution using Resiliency in Azure.","This tutorial describes how to view your resources that are currently not protected by any solution, using Resiliency in Azure. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form.",2025-11-19T08:00:00.000Z,tutorial,,0.3,False,Tutorial on viewing unprotected resources; primarily step-by-step portal usage without product-specific config parameters or limits.,unchanged
https://learn.microsoft.com/en-us/azure/resiliency/tutorial-view-protected-items-and-perform-actions,View protected items and perform actions,View protected items and perform actions,,Learn how to view protected items and perform actions,"This tutorial describes how to view your datasources that are protected by one or more solutions and perform actions on them from Resiliency in Azure. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensure ongoing resilience of your applications. To try out the Zonal feature in Resiliency, fill outthis enrollment form.",2025-11-19T08:00:00.000Z,tutorial,,0.3,False,Tutorial on viewing protected items and performing actions; operational walkthrough without expert-level configuration or troubleshooting content.,unchanged
